chain,taxonomy,risk_level,risk_category,taxonomy_ids,source_file,copied_file,copied
ethereum,T4_LOGICAL_DOMAIN_REPLAY,High,"missing_eip191_prefix,missing_logical_domain_disambiguator","T1_UNSEPARATED_SIGNING_DOMAIN,T4_LOGICAL_DOMAIN_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2025/0xbe82113a671b69d07dce65cd30618d315d3d7c34_PoolInstance.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/021_T4_LOGICAL_DOMAIN_REPLAY_0xbe82113a671b69d07dce65cd30618d315d3d7c34_PoolInstance.sol,yes
ethereum,T4_LOGICAL_DOMAIN_REPLAY,High,"missing_eip191_prefix,missing_logical_domain_disambiguator","T1_UNSEPARATED_SIGNING_DOMAIN,T4_LOGICAL_DOMAIN_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2021/0x344dd70a81aee91421f06ee2fed1bde1689b5405_NimbusRouter.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/022_T4_LOGICAL_DOMAIN_REPLAY_0x344dd70a81aee91421f06ee2fed1bde1689b5405_NimbusRouter.sol,yes
ethereum,T4_LOGICAL_DOMAIN_REPLAY,High,"missing_eip191_prefix,missing_logical_domain_disambiguator","T1_UNSEPARATED_SIGNING_DOMAIN,T4_LOGICAL_DOMAIN_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2026/0x5802d6efd26303d3f933182651b9687a2733f410_OrbtMMStrategy.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/023_T4_LOGICAL_DOMAIN_REPLAY_0x5802d6efd26303d3f933182651b9687a2733f410_OrbtMMStrategy.sol,yes
ethereum,T4_LOGICAL_DOMAIN_REPLAY,Medium,zero_salt_used,T4_LOGICAL_DOMAIN_REPLAY,/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2023/0xab634e638870e8e209e62b33a3df7caa33c83092_GaslessV3.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/024_T4_LOGICAL_DOMAIN_REPLAY_0xab634e638870e8e209e62b33a3df7caa33c83092_GaslessV3.sol,yes
ethereum,T5_DOMAIN_FRESHNESS_FAILURE,High,stale_cached_DOMAIN_SEPARATOR,T5_DOMAIN_FRESHNESS_FAILURE,/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2022/0x2f0c7c98462651bb2102f6cd05acdad333e031b0_SicleFactory.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/025_T5_DOMAIN_FRESHNESS_FAILURE_0x2f0c7c98462651bb2102f6cd05acdad333e031b0_SicleFactory.sol,yes
ethereum,T5_DOMAIN_FRESHNESS_FAILURE,High,stale_cached_DOMAIN_SEPARATOR,T5_DOMAIN_FRESHNESS_FAILURE,/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2020/0x44718d306a8fa89545704ae38b2b97c06bf11fc1_RestrictedToken.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/026_T5_DOMAIN_FRESHNESS_FAILURE_0x44718d306a8fa89545704ae38b2b97c06bf11fc1_RestrictedToken.sol,yes
ethereum,T5_DOMAIN_FRESHNESS_FAILURE,High,stale_cached_DOMAIN_SEPARATOR,T5_DOMAIN_FRESHNESS_FAILURE,/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2022/0x101816545f6bd2b1076434b54383a1e633390a2e_Pool.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/027_T5_DOMAIN_FRESHNESS_FAILURE_0x101816545f6bd2b1076434b54383a1e633390a2e_Pool.sol,yes
ethereum,T5_DOMAIN_FRESHNESS_FAILURE,High,stale_cached_DOMAIN_SEPARATOR,T5_DOMAIN_FRESHNESS_FAILURE,/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2023/0x8a19be9dd6f5b811865ed7b09519880193245530_ZeroXFactory.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/028_T5_DOMAIN_FRESHNESS_FAILURE_0x8a19be9dd6f5b811865ed7b09519880193245530_ZeroXFactory.sol,yes
ethereum,T5_DOMAIN_FRESHNESS_FAILURE,High,stale_cached_DOMAIN_SEPARATOR,T5_DOMAIN_FRESHNESS_FAILURE,/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2020/0xbb372b54f3bb3a5a2c2e669bebc54ccf4fa97af7_Wrapped777.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/029_T5_DOMAIN_FRESHNESS_FAILURE_0xbb372b54f3bb3a5a2c2e669bebc54ccf4fa97af7_Wrapped777.sol,yes
ethereum,T5_DOMAIN_FRESHNESS_FAILURE,High,stale_cached_DOMAIN_SEPARATOR,T5_DOMAIN_FRESHNESS_FAILURE,/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2022/0xf4db6f2d56c4edfd77d9a888452c835053096b75_RARESwapFactory.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/030_T5_DOMAIN_FRESHNESS_FAILURE_0xf4db6f2d56c4edfd77d9a888452c835053096b75_RARESwapFactory.sol,yes
